scenario,year,gwl_c
hot_house_3_5c,2042,1.556
hot_house_3_5c,2043,1.6005
hot_house_3_5c,2044,1.6449
hot_house_3_5c,2045,1.6897
hot_house_3_5c,2046,1.7351
hot_house_3_5c,2047,1.7817
hot_house_3_5c,2048,1.8298
hot_house_3_5c,2049,1.8798
hot_house_3_5c,2050,1.932
hot_house_3_5c,2051,1.9855
hot_house_3_5c,2052,2.0392
hot_house_3_5c,2053,2.0929
hot_house_3_5c,2054,2.1466
hot_house_3_5c,2055,2.2004
hot_house_3_5c,2056,2.2543
hot_house_3_5c,2057,2.3082
hot_house_3_5c,2058,2.3622
hot_house_3_5c,2059,2.4163
hot_house_3_5c,2060,2.4704
hot_house_3_5c,2061,2.5245
hot_house_3_5c,2062,2.5787
hot_house_3_5c,2063,2.633
hot_house_3_5c,2064,2.6873
hot_house_3_5c,2065,2.7416
hot_house_3_5c,2066,2.796
hot_house_3_5c,2067,2.8504
hot_house_3_5c,2068,2.9049
hot_house_3_5c,2069,2.9593
hot_house_3_5c,2070,3.0139
hot_house_3_5c,2071,3.0684
hot_house_3_5c,2072,3.123
hot_house_3_5c,2073,3.1776
hot_house_3_5c,2074,3.2322
hot_house_3_5c,2075,3.2868
hot_house_3_5c,2076,3.3415
hot_house_3_5c,2077,3.3962
hot_house_3_5c,2078,3.4508
hot_house_3_5c,2079,3.5055
hot_house_3_5c,2080,3.5602
hot_house_3_5c,2081,3.615
hot_house_3_5c,2082,3.6697
hot_house_3_5c,2083,3.7244
hot_house_3_5c,2084,3.7791
hot_house_3_5c,2085,3.8338
hot_house_3_5c,2086,3.8886
hot_house_3_5c,2087,3.9433
hot_house_3_5c,2088,3.998
hot_house_3_5c,2089,4.0527
hot_house_3_5c,2090,4.1073
hot_house_3_5c,2091,4.162
hot_house_3_5c,2092,4.2167
hot_house_3_5c,2093,4.2713
hot_house_3_5c,2094,4.3259
hot_house_3_5c,2095,4.3805
hot_house_3_5c,2096,4.4351
hot_house_3_5c,2097,4.4896
hot_house_3_5c,2098,4.5441
hot_house_3_5c,2099,4.5986
hot_house_3_5c,2100,4.653
